date,PRIBOR - 7 days,Discount rate
2010-01-31,1.1,0.25
2010-02-28,1.13,0.25
2010-03-31,1.12,0.25
2010-04-30,1.11,0.25
2010-05-31,1.1,0.25
2010-06-30,0.86,0.25
2010-07-31,0.84,0.25
2010-08-31,0.85,0.25
2010-09-30,0.85,0.25
2010-10-31,0.86,0.25
2010-11-30,0.84,0.25
2010-12-31,0.84,0.25
2011-01-31,0.79,0.25
2011-02-28,0.83,0.25
2011-03-31,0.84,0.25
2011-04-30,0.83,0.25
2011-05-31,0.82,0.25
2011-06-30,0.82,0.25
2011-07-31,0.83,0.25
2011-08-31,0.83,0.25
2011-09-30,0.83,0.25
2011-10-31,0.82,0.25
2011-11-30,0.81,0.25
2011-12-31,0.81,0.25
2012-01-31,0.81,0.25
2012-02-29,0.82,0.25
2012-03-31,0.81,0.25
2012-04-30,0.82,0.25
2012-05-31,0.82,0.25
2012-06-30,0.81,0.25
2012-07-31,0.66,0.25
2012-08-31,0.63,0.25
2012-09-30,0.59,0.25
2012-10-31,0.55,0.25
2012-11-30,0.42,0.1
2012-12-31,0.27,0.05
2013-01-31,0.26,0.05
2013-02-28,0.26,0.05
2013-03-31,0.25,0.05
2013-04-30,0.23,0.05
2013-05-31,0.22,0.05
2013-06-30,0.22,0.05
2013-07-31,0.22,0.05
2013-08-31,0.2,0.05
2013-09-30,0.2,0.05
2013-10-31,0.2,0.05
2013-11-30,0.2,0.05
2013-12-31,0.16,0.05
2014-01-31,0.17,0.05
2014-02-28,0.17,0.05
2014-03-31,0.17,0.05
2014-04-30,0.17,0.05
2014-05-31,0.17,0.05
2014-06-30,0.17,0.05
2014-07-31,0.17,0.05
2014-08-31,0.16,0.05
2014-09-30,0.16,0.05
2014-10-31,0.16,0.05
2014-11-30,0.16,0.05
2014-12-31,0.16,0.05
2015-01-31,0.17,0.05
2015-02-28,0.17,0.05
2015-03-31,0.16,0.05
2015-04-30,0.16,0.05
2015-05-31,0.16,0.05
2015-06-30,0.16,0.05
2015-07-31,0.16,0.05
2015-08-31,0.16,0.05
2015-09-30,0.15,0.05
2015-10-31,0.14,0.05
2015-11-30,0.14,0.05
2015-12-31,0.14,0.05
2016-01-31,0.14,0.05
2016-02-29,0.14,0.05
2016-03-31,0.14,0.05
2016-04-30,0.14,0.05
2016-05-31,0.14,0.05
2016-06-30,0.14,0.05
2016-07-31,0.14,0.05
2016-08-31,0.14,0.05
2016-09-30,0.14,0.05
2016-10-31,0.14,0.05
2016-11-30,0.14,0.05
2016-12-31,0.13,0.05
2017-01-31,0.13,0.05
2017-02-28,0.13,0.05
2017-03-31,0.13,0.05
2017-04-30,0.13,0.05
2017-05-31,0.13,0.05
2017-06-30,0.13,0.05
2017-07-31,0.13,0.05
2017-08-31,0.13,0.05
2017-09-30,0.31,0.05
2017-10-31,0.31,0.05
2017-11-30,0.36,0.05
2017-12-31,0.54,0.05
2018-01-31,0.55,0.05
2018-02-28,0.63,0.05
2018-03-31,0.77,0.05
2018-04-30,0.77,0.05
2018-05-31,0.77,0.05
2018-06-30,0.77,0.05
2018-07-31,1.02,0.05
2018-08-31,1.04,0.05
2018-09-30,1.28,0.25
2018-10-31,1.53,0.5
2018-11-30,1.54,0.5
2018-12-31,1.79,0.75
2019-01-31,1.78,0.75
2019-02-28,1.78,0.75
2019-03-31,1.79,0.75
2019-04-30,1.79,0.75
2019-05-31,1.79,0.75
2019-06-30,2.03,1
2019-07-31,2.03,1
2019-08-31,2.03,1
2019-09-30,2.03,1
2019-10-31,2.03,1
2019-11-30,2.03,1
2019-12-31,2.03,1
